ElectDist,Shape_Leng,Shape_Area,coun_dist
"60063",6201.21556476000,1217562.52206000010,"42"
"60064",6409.59203327000,1199915.19709999999,"42"
"60065",3615.23543691000,666082.21350700001,"42"
"60066",10252.86903980000,2637925.05863999994,"42"
"60067",2047.06135409000,239641.92433000001,"42"
"60068",2535.48302442000,390074.82181900000,"42"
"60069",9010.53276116000,4647073.25736000016,"42"
"60070",9858.00010116000,4810843.23352000024,"42"
"60071",4505.53683963000,1155155.13133000000,"42"
"60072",4093.76316013000,880352.26521300001,"42"
"60073",3980.84480939000,916326.08126000001,"42"
"60074",8631.11622118000,2025424.50159000000,"42"
"60075",4164.02198406000,766288.15043699997,"42"
"60076",2199.63307705000,298193.92277000000,"42"
"60077",5968.38751627000,2014101.78710000007,"42"
"60078",9925.87953618000,3783971.92385999998,"42"
"60079",12825.76901110000,1401382.92287999997,"46"
"60080",3169.35654105000,577950.11601899995,"42"
"60081",4441.33947127000,760878.53662200004,"42"
"60082",3752.24427004000,750851.43120999995,"42"
"60083",3738.38286542000,751052.81620600005,"42"
"60084",8016.59723194000,3481223.07225999981,"42"
"60085",12038.99813960000,7280209.50934000034,"42"
"60086",39418.96455540000,30475375.58710000291,"42"
"60087",3813.62676404000,726390.21241799998,"42"
"60088",4974.88467600000,739756.04654100002,"42"
"60089",2913.54445900000,487563.81950099999,"42"
"60090",5179.33093574000,1034632.90252999996,"42"
"60091",3870.00463285000,752543.72801800002,"42"
"61002",5874.32478272000,1859651.76655000006,"49"
"61003",6651.74216780000,1842305.82104000007,"49"
"61004",5462.74886533000,1730181.06847999990,"49"
"61005",7610.60921547000,1794327.30572999991,"49"
"61006",6969.29455302000,1358802.90042999992,"49"
"61007",9683.50621955000,1869264.37996000005,"49"
"61008",5745.71509838000,1317160.80918000010,"49"
"61009",8885.04804469000,3594691.29998000013,"49"
"61010",9406.43552554000,2863632.15476999991,"49"
"61011",13772.32791710000,6419034.82904999983,"49"
"61012",9059.66577030000,4136904.31009999989,"49"
"61013",8111.14371247000,2182404.56731999991,"49"
"61014",8646.10450022000,2650470.55605999986,"49"
"61015",6025.51396140000,2266428.97359000007,"49"
"61016",21595.32121450000,5841508.20607999992,"49"
